Registration year,Week number,Week beginning,Births registered
2012,41,10/8/12,1201
2012,40,10/1/12,1203
2012,39,9/24/12,1156
2012,38,9/17/12,1090
2012,37,9/10/12,1131
2012,36,9/3/12,1147
2012,35,8/27/12,1081
2012,34,8/20/12,1139
2012,33,8/13/12,1192
2012,32,8/6/12,1100
2012,31,7/30/12,1145
2012,30,7/23/12,1184
2012,29,7/16/12,1055
2012,28,7/9/12,1170
2012,27,7/2/12,1097
2012,26,6/25/12,1135
2012,25,6/18/12,1169
2012,24,6/11/12,1265
2012,23,6/4/12,948
2012,22,5/28/12,1100
2012,21,5/21/12,1110
2012,20,5/14/12,1071
2012,19,5/7/12,1010
2012,18,4/30/12,1124
2012,17,4/23/12,1089
2012,16,4/16/12,1286
2012,15,4/9/12,1090
2012,14,4/2/12,948
2012,13,3/26/12,1112
2012,12,3/19/12,1108
2012,11,3/12/12,1105
2012,10,3/5/12,1147
2012,9,2/27/12,1123
2012,8,2/20/12,1125
2012,7,2/13/12,1038
2012,6,2/6/12,1100
2012,5,1/30/12,1057
2012,4,1/23/12,1072
2012,3,1/16/12,1117
2012,2,1/9/12,1542
2012,1,1/2/12,1126
2011,52,12/26/11,548
2011,51,12/19/11,1230
2011,50,12/12/11,1165
2011,49,12/5/11,1027
2011,48,11/28/11,1090
2011,47,11/21/11,1080
2011,46,11/14/11,1127
2011,45,11/7/11,1066
2011,44,10/31/11,1127
2011,43,10/24/11,1137
2011,42,10/17/11,1062
2011,41,10/10/11,1231
2011,40,10/3/11,1162
2011,39,9/26/11,1154
2011,38,9/19/11,1074
2011,37,9/12/11,1125
2011,36,9/5/11,1153
2011,35,8/29/11,1135
2011,34,8/22/11,1195
2011,33,8/15/11,1170
2011,32,8/8/11,1218
2011,31,8/1/11,1135
2011,30,7/25/11,1165
2011,29,7/18/11,1134
2011,28,7/11/11,1130
2011,27,7/4/11,1196
2011,26,6/27/11,1162
2011,25,6/20/11,1159
2011,24,6/13/11,1143
2011,23,6/6/11,1177
2011,22,5/30/11,1195
2011,21,5/23/11,1065
2011,20,5/16/11,1123
2011,19,5/9/11,1217
2011,18,5/2/11,1226
2011,17,4/25/11,1020
2011,16,4/18/11,998
2011,15,4/11/11,1133
2011,14,4/4/11,1114
2011,13,3/28/11,1066
2011,12,3/21/11,1090
2011,11,3/14/11,995
2011,10,3/7/11,1013
2011,9,2/28/11,1145
2011,8,2/21/11,1081
2011,7,2/14/11,1117
2011,6,2/7/11,1125
2011,5,1/31/11,1095
2011,4,1/24/11,1113
2011,3,1/17/11,1222
2011,2,1/10/11,1431
2011,1,1/3/11,1329
2010,52,12/27/10,569
2010,51,12/20/10,1119
2010,50,12/13/10,1391
2010,49,12/6/10,1074
2010,48,11/29/10,731
2010,47,11/22/10,1124
2010,46,11/15/10,1163
2010,45,11/8/10,1174
2010,44,11/1/10,1148
2010,43,10/25/10,1161
2010,42,10/18/10,1103
2010,41,10/11/10,1199
2010,40,10/4/10,1272
2010,39,9/27/10,1186
2010,38,9/20/10,1087
2010,37,9/13/10,1103
2010,36,9/6/10,1165
2010,35,8/30/10,1109
2010,34,8/23/10,1111
2010,33,8/16/10,1190
2010,32,8/9/10,1146
2010,31,8/2/10,1142
2010,30,7/26/10,1155
2010,29,7/19/10,1137
2010,28,7/12/10,1071
2010,27,7/5/10,1135
2010,26,6/28/10,1154
2010,25,6/21/10,1169
2010,24,6/14/10,1150
2010,23,6/7/10,1175
2010,22,5/31/10,1090
2010,21,5/24/10,1119
2010,20,5/17/10,1132
2010,19,5/10/10,1170
2010,18,5/3/10,1050
2010,17,4/26/10,1148
2010,16,4/19/10,1149
2010,15,4/12/10,1206
2010,14,4/5/10,1144
2010,13,3/29/10,947
2010,12,3/22/10,1133
2010,11,3/15/10,1030
2010,10,3/8/10,1130
2010,9,3/1/10,1192
2010,8,2/22/10,1105
2010,7,2/15/10,1087
2010,6,2/8/10,1102
2010,5,2/1/10,1093
2010,4,1/25/10,1110
2010,3,1/18/10,1204
2010,2,1/11/10,1362
2010,1,1/4/10,1475
2009,53,12/28/09,630
2009,52,12/21/09,832
2009,51,12/14/09,1096
2009,50,12/7/09,1109
2009,49,11/30/09,1158
2009,48,11/23/09,1077
2009,47,11/16/09,1079
2009,46,11/9/09,1157
2009,45,11/2/09,1099
2009,44,10/26/09,1221
2009,43,10/19/09,1041
2009,42,10/12/09,1215
2009,41,10/5/09,1241
2009,40,9/28/09,1128
2009,39,9/21/09,1061
2009,38,9/14/09,1171
2009,37,9/7/09,1135
2009,36,8/31/09,1119
2009,35,8/24/09,1244
2009,34,8/17/09,1224
2009,33,8/10/09,1142
2009,32,8/3/09,1160
2009,31,7/27/09,1201
2009,30,7/20/09,1170
2009,29,7/13/09,1131
2009,28,7/6/09,1191
2009,27,6/29/09,1202
2009,26,6/22/09,1140
2009,25,6/15/09,1100
2009,24,6/8/09,1203
2009,23,6/1/09,1150
2009,22,5/25/09,1141
2009,21,5/18/09,1058
2009,20,5/11/09,1219
2009,19,5/4/09,1053
2009,18,4/27/09,1169
2009,17,4/20/09,1215
2009,16,4/13/09,1188
2009,15,4/6/09,1044
2009,14,3/30/09,1111
2009,13,3/23/09,1091
2009,12,3/16/09,1154
2009,11,3/9/09,1092
2009,10,3/2/09,1067
2009,9,2/23/09,1115
2009,8,2/16/09,1125
2009,7,2/9/09,1093
2009,6,2/2/09,1060
2009,5,1/26/09,1144
